isbn	title	author	publisher	year_published	dewey_decimal	lcc_number	subjects
9781593376864	Beginner's Guide to Day Trading Online	Toni Turner	Adams Media Corporation	2007	332.64		
9780671027421	The Water Nymph	Jaffe, Michele	Pocket Star	2001			
9781580625708	A Beginner's Guide to Short-Term Trading	Toni Turner	Adams Media Corporation	2002	332.63		amazon_com_business_investing_investing_general|amazon_com_business_investing_investing_introduction|amazon_com_business_investing_investing_options|amazon_com_business_investing_personal_finance_general
9780534916459	A first course in the theory of linear statistical models	Myers, Raymond H.|Milton, J. Susan	PWS-KENT Pub. Co	1991	519.53	QA279	linear_models_statistics
9780131367364	Practical Guide to Linux Commands, Editors, and Shell Programming, A	Sobell, Mark G.	Prentice Hall PTR	2010	5.432		computers_internet_operating_systems_linux_programming|computers_internet_operating_systems_linux_general|computers_internet_operating_systems_general
9780321691699	A Second Course in Statistics: Regression Analysis	Mendenhall, William|Sincich, Terry	Prentice Hall	2012	519.536		science_mathematics
9781402017070	Advanced Sampling Theory with Applications 	Sarjinder Singh	Springer	2003	519.52		professional_technical_professional_science_mathematics_appl|science_chemistry_analytic|science_history_philosophy_general|science_mathematics_applied_probability_statistics|science_general_aaaa0
9780471113386	An introduction to categorical data analysis	Agresti, Alan	Wiley	1996	519.5	QA278	multivariate_analysis
9780198566625	Model Based Methods for Sample Survey	Ray Chambers|Clark, Robert A.	Oxford Higher Education	2012	519.5		
9780534387754	An introduction to modern nonparametric statistics	Higgins, James	Thomson, Brooks/Cole	2004	519.5	QA278.8	nonparametric_statistics
9780471899877	Analysis of survey data	Chambers, R. L. Skinner, C. J.	Wiley	2003	1.422	QA276	amazon_com_business_investing_economics_statistics|amazon_com_business_investing_general|amazon_com_health_mind_body_psychology_counseling_statistics|amazon_com_nonfiction_social_sciences_statistics|amazon_com_science_mathematics_applied_probability_statistic|amazon_com_professional_technical_professional_science_aaaa6|mathematical_statistics_methodology
9780803930148	Analyzing complex survey data	Lee, Eun Sul|Ronald N. Forthofer|Ronald J. Lorimor|Forthofer, Ron N.	Sage	1989	519.5	HN29	amazon_com_computers_internet_digital_business_culture_proje|amazon_com_nonfiction_social_sciences_research|amazon_com_medicine_general|social_surveys_methodology|sampling_statistics
9780256117363	Applied linear statistical models	Neter, John	WCB/McGraw-Hill	1996	519.535	QA278.2	regression_analysis|analysis_of_variance|experimental_design|linear_models_statistics
9780195152968	Applied longitudinal data analysis	Singer, Judith D.|Willett, John	Oxford University Press	2003	001.4		longitudinal_method|social_sciences_research
9780387953472	Applied multivariate analysis	Timm, Neil H.	Springer	2002	519.535	QA278	multivariate_analysis
9780534237967	Applied multivariate methods for data analysts	Johnson, Dallas E.	Duxbury Press	1998	519.535	QA278	multivariate_analysis
9780131877153	Applied multivariate statistical analysis	Johnson, Richard R.|Wichern, Dean W.	Pearson/Prentice Hall	2007	519.535	J7	multivariate_analysis|multivariat_analys
9780130417732	Applied multivariate statistical analysis	Johnson, Richard R.|Wichern, Dean W.	Prentice Hall	1992	519.535	QA278	multivariate_analysis|statistical_analysis
9780471170822	Applied regression analysis	Draper, Norman Richard|Smith, Harry	Wiley	1998	519.5	QA278.2	regression_analysis
9780803945401	Applied regression analysis, linear models, and related methods	Fox, John	Sage Publications	1997	300.01519536	HA31.3	regression_analysis|linear_models_statistics|social_sciences_statistical_methods
9780137436422	Applied statistics and the SAS programming language	Cody, Ronald P.|Smith, Jeffrey K.	Prentice Hall	1997	519.502855369	QA276.4	sas_computer_program|sas_computer_file|mathematical_statistics_data_processing|computer_programs_handbooks_manuals_etc|statistics_data_processing
9781420080667	Applied Survey Data Analysis	Heeringa, Steven|Brady West|Patricia A. Berglund	CRC Press	2010	1.422		health_mind_body_psychology_counseling_research|nonfiction_social_sciences_research|nonfiction_social_sciences_statistics|professional_technical_professional_science_mathematics_appl|science_mathematics_applied_probability_statistics|social_sciences|social_surveys|statistical_methods|statistics|reference_resource_series|social_science|electronic_books
9780486420790	Basic set theory	Lv?y, Azriel|L�vy, Azriel	Dover Publications	2002	511.322	QA248	set_theory
9780764516962	Bioinformatics for dummies	Claverie, Jean-Michel|Notredame, Cedric	Wiley Pub	2003	570	C6	bioinformatics|computational_biology
9780521574716	Bootstrap methods and their application	Davison, A. N.|Hinkley, D. V.|Canty, A. J.	Cambridge University Press	1997	519.544	QA276.8	bootstrap_statistics
